"City","Token1","Count1","Token2","Count2","Proportion","Long","Lat"
"München","schau",310,"guck",40,88.5714285714286,11.5819806,48.1351253
"Neckargemünd","schau",3,"guck",1,75,8.802281,49.3866401
"Neckarsulm","schau",12,"guck",2,85.7142857142857,9.2287089,49.1922581
"Netphen","schau",8,"guck",9,47.0588235294118,8.1072664,50.9150588
"Nettetal","schau",1,"guck",2,33.3333333333333,6.2721001,51.3262794
"Neu-Ulm","schau",9,"guck",2,81.8181818181818,10.00286,48.3891689
"Neuhofen","schau",1,"guck",1,50,8.4234556,49.4224209
"Neukirchen-Vluyn","schau",3,"guck",2,60,6.5537259,51.4423827
"Neumünster","schau",1,"guck",1,50,9.9840158,54.0729431
"Neuss","schau",24,"guck",40,37.5,6.6879511,51.2041968
"Neustadt an der Weinstraße","schau",3,"guck",1,75,8.1486886,49.3501864
"Neutraubling","schau",2,"guck",1,66.6666666666667,12.1959296,48.9854354
"Niederkassel","schau",2,"guck",2,50,7.0376711,50.8153036
"Nürnberg","schau",271,"guck",25,91.5540540540541,11.0766654,49.4521018
"Nürtingen","schau",7,"guck",1,87.5,9.3469069,48.624421
"Nußloch","schau",8,"guck",2,80,8.6910808,49.3246718
"Ober-Ramstadt","schau",1,"guck",2,33.3333333333333,8.7450072,49.8312192
"Oberasbach","schau",2,"guck",1,66.6666666666667,10.9712927,49.4324695
"Oberhausen","schau",20,"guck",38,34.4827586206897,6.863308,51.4878429
"Oer-Erkenschwick","schau",2,"guck",4,33.3333333333333,7.2594914,51.6429599
"Offenau","schau",1,"guck",1,50,9.1652747,49.2448
"Offenbach am Main","schau",2,"guck",6,25,8.7760843,50.0956362
"Oftersheim","schau",5,"guck",2,71.4285714285714,8.5838662,49.3702809
"Oldenburg","schau",76,"guck",105,41.9889502762431,8.2145521,53.1434501
"Osnabrück","schau",83,"guck",99,45.6043956043956,8.0471788,52.2799112
"Ostfildern","schau",12,"guck",1,92.3076923076923,9.2585976,48.7287991
"Ottendorf","schau",1,"guck",2,33.3333333333333,10.0501754,54.340288
"Overath","schau",1,"guck",1,50,7.2823741,50.9329199
"Paderborn","schau",91,"guck",125,42.1296296296296,8.7575093,51.7189205
"Passau","schau",23,"guck",2,92,13.4319466,48.5667364
"Pforzheim","schau",110,"guck",15,88,8.6946286,48.8921862
"Pfungstadt","schau",1,"guck",5,16.6666666666667,8.6035362,49.8028671
"Piding","schau",1,"guck",1,50,12.9126072,47.7695089
"Planegg","schau",2,"guck",1,66.6666666666667,11.4242653,48.1068217
"Potsdam","schau",30,"guck",32,48.3870967741936,13.0644729,52.3905689
"Pulheim","schau",1,"guck",2,33.3333333333333,6.8076853,50.9995815
"Püttlingen","schau",1,"guck",3,25,6.8832311,49.2833295
"Ratingen","schau",8,"guck",7,53.3333333333333,6.8401844,51.2964148
"Recklinghausen","schau",21,"guck",36,36.8421052631579,7.1973885,51.6117809
"Regensburg","schau",238,"guck",27,89.811320754717,12.1016236,49.0134297
"Reinheim","schau",1,"guck",1,50,8.8310974,49.8285844
"Remscheid","schau",12,"guck",12,50,7.1896962,51.1787418
"Reutlingen","schau",38,"guck",3,92.6829268292683,9.2046411,48.4912389
"Rhede","schau",1,"guck",2,33.3333333333333,6.6989532,51.8374545
"Rheinstetten","schau",5,"guck",1,83.3333333333333,8.292246,48.9618109
"Riedstadt","schau",3,"guck",1,75,8.4671693,49.8431788
"Rodenbach","schau",1,"guck",1,50,9.0601196,50.1313348
"Roggentin","schau",2,"guck",1,66.6666666666667,12.2040672,54.0717066
"Rösrath","schau",2,"guck",2,50,7.1834951,50.9044746
"Roßdorf","schau",2,"guck",4,33.3333333333333,8.7524067,49.8594669
"Rostock","schau",95,"guck",112,45.8937198067633,12.0991466,54.0924406
"Röttenbach","schau",1,"guck",1,50,10.9244766,49.668294
"Rottenburg am Neckar","schau",4,"guck",1,80,8.9409486,48.4791318
"Rottendorf","schau",2,"guck",1,66.6666666666667,10.0256758,49.7922908
"Rüsselsheim am Main","schau",2,"guck",1,66.6666666666667,8.4216976,49.9887497
"Saarbrücken","schau",132,"guck",57,69.8412698412698,6.997547,49.2381697
"Saarlouis","schau",1,"guck",1,50,6.7522865,49.3134606
"Salzgitter","schau",3,"guck",9,25,10.3899126,52.1378659
"Salzkotten","schau",1,"guck",2,33.3333333333333,8.6010709,51.6669541
"Sankt Augustin","schau",2,"guck",7,22.2222222222222,7.1875786,50.7694775
"Sankt Gallen","schau",6,"guck",1,85.7142857142857,9.3767173,47.4244818
"Sankt Ingbert","schau",4,"guck",7,36.3636363636364,7.1118995,49.2774456
"Schalksmühle","schau",1,"guck",2,33.3333333333333,7.5235967,51.2427245
"Schöneck","schau",1,"guck",1,50,12.3356774,50.3936523
"Schönkirchen","schau",1,"guck",2,33.3333333333333,10.2225171,54.3392186
"Schwäbisch Hall","schau",1,"guck",1,50,9.7372649,49.1124645
"Schwentinental","schau",2,"guck",2,50,10.2277089,54.2866519
"Schwetzingen","schau",6,"guck",3,66.6666666666667,8.5722445,49.3852193
"Schwielowsee","schau",1,"guck",1,50,12.9315473,52.3116793
"Seelze","schau",2,"guck",1,66.6666666666667,9.5939408,52.3949194
"Siegen","schau",64,"guck",93,40.7643312101911,8.0209591,50.8838492
"Sindelfingen","schau",2,"guck",2,50,9.0044053,48.7074558
"Söhrewald","schau",1,"guck",1,50,9.5929825,51.2154931
"Solingen","schau",19,"guck",13,59.375,7.0671161,51.1652199
"Speyer","schau",2,"guck",1,66.6666666666667,8.4412172,49.3172765
"Sprockhövel","schau",4,"guck",4,50,7.2469129,51.3639672
"Stahnsdorf","schau",1,"guck",1,50,13.2171193,52.3846084
"Steinfurt","schau",1,"guck",2,33.3333333333333,7.3362157,52.1494785
"Steinhagen","schau",2,"guck",3,40,8.415113,52.0049441
"Stockelsdorf","schau",5,"guck",6,45.4545454545455,10.6466364,53.8954552
"Stralsund","schau",2,"guck",3,40,13.0770347,54.3090654
"Stuttgart","schau",364,"guck",41,89.8765432098765,9.1829321,48.7758459
"Sulza","schau",19,"guck",8,70.3703703703704,11.6200191,50.8667924
"Sulzbach/Saar","schau",12,"guck",3,80,7.0621814,49.3022275
"Thalheim bei Wels","schau",2,"guck",3,40,14.0347461,48.1495024
"Tönisvorst","schau",3,"guck",1,75,6.4438452,51.3274683
"Trier","schau",92,"guck",76,54.7619047619048,6.6371433,49.749992
"Troisdorf","schau",2,"guck",5,28.5714285714286,7.1430246,50.8177471
"Tübingen","schau",162,"guck",40,80.1980198019802,9.0576448,48.5216364
"Urbar","schau",2,"guck",2,50,7.6258037,50.380687
"Vechelde","schau",2,"guck",2,50,10.3671784,52.2595084
"Vechta","schau",20,"guck",22,47.6190476190476,8.2838761,52.7292252
"Velbert","schau",2,"guck",10,16.6666666666667,7.0426775,51.3370703
"Vellmar","schau",5,"guck",5,50,9.4651587,51.3576785
"Viernheim","schau",4,"guck",3,57.1428571428571,8.5784877,49.5412437
"Viersen","schau",2,"guck",5,28.5714285714286,6.3965235,51.2554987
"Völklingen","schau",8,"guck",1,88.8888888888889,6.8588948,49.2556226
"Wachtberg","schau",4,"guck",2,66.6666666666667,7.0869865,50.6198949
"Waiblingen","schau",6,"guck",1,85.7142857142857,9.3185739,48.8293519
"Walddorfhäslach","schau",3,"guck",1,75,9.1613239,48.5911496
"Wallenhorst","schau",2,"guck",4,33.3333333333333,8.0052769,52.3491544
"Wardenburg","schau",1,"guck",5,16.6666666666667,8.1991278,53.0580029
"Weiden in der Oberpfalz","schau",2,"guck",1,66.6666666666667,12.1489337,49.6743636
"Weidenbach","schau",2,"guck",1,66.6666666666667,10.6472161,49.1983432
"Weinheim","schau",3,"guck",1,75,8.6602703,49.544964
"Weißenthurm","schau",1,"guck",1,50,7.4567753,50.4162704
"Weiterstadt","schau",9,"guck",2,81.8181818181818,8.5991073,49.8991611
"Wendeburg","schau",1,"guck",2,33.3333333333333,10.3904763,52.3267503
"Wenden","schau",1,"guck",3,25,7.8665433,50.9716418
"Wendlingen am Neckar","schau",1,"guck",1,50,9.3827676,48.671757
"Wernigerode","schau",3,"guck",3,50,10.7844266,51.8368113
"Wesel","schau",1,"guck",1,50,6.6295679,51.6643079
"Wesseling","schau",1,"guck",2,33.3333333333333,6.9725385,50.8255624
"Wetter (Ruhr)","schau",2,"guck",2,50,7.3914998,51.3860225
"Wetzlar","schau",3,"guck",2,60,8.5002611,50.5635273
"Weyhe","schau",2,"guck",5,28.5714285714286,8.8505317,52.9830237
"Wiefelstede","schau",2,"guck",4,33.3333333333333,8.1175835,53.2549953
"Wien","schau",557,"guck",5,99.1103202846975,16.3738189,48.2081743
"Wiener Neudorf","schau",4,"guck",1,80,16.320342,48.0853962
"Wiesbaden","schau",51,"guck",39,56.6666666666667,8.2397608,50.0782184
"Wiesloch","schau",2,"guck",1,66.6666666666667,8.6962064,49.2953714
"Wilhelmshaven","schau",5,"guck",4,55.5555555555556,8.1068722,53.5323403
"Willich","schau",7,"guck",5,58.3333333333333,6.5442659,51.2654601
"Wismar","schau",1,"guck",1,50,11.4621371,53.8879706
"Witten","schau",13,"guck",20,39.3939393939394,7.353197,51.4438926
"Wolfenbüttel","schau",12,"guck",11,52.1739130434783,10.5342445,52.160443
"Wolfsburg","schau",19,"guck",27,41.304347826087,10.7865461,52.4226503
"Wörth am Rhein","schau",1,"guck",1,50,8.257338,49.0514423
"Wülfrath","schau",1,"guck",3,25,7.0349608,51.280284
"Wuppertal","schau",108,"guck",132,45,7.1507636,51.2562128
"Würselen","schau",4,"guck",3,57.1428571428571,6.1320672,50.8216502
"Würzburg","schau",216,"guck",39,84.7058823529412,9.9533548,49.7913044
"Zell am Main","schau",1,"guck",1,50,9.8674936,49.8153266
"Zürich","schau",6,"guck",1,85.7142857142857,8.541694,47.3768866
"Zwickau","schau",7,"guck",1,87.5,12.4591138,50.7069243
