county,ass,asshole,bastard,bitch,bitched,bitchy,bloody,bullshit,cock,crap,crappy,cunt,damn,damnit,damned,darn,dick,dickhead,douche,douchebag,dumbass,dyke,fag,faggot,fatass,freaking,friggin,fuck,fucked,fucker,fuckery,fucking,goddamn,gosh,hell,hoe,homo,jackass,motherfucker,motherfucking,nigger,piss,pissed,pissy,pussy,shit,shittiest,shitty,slut,slutty,twat,whore
"minnesota,kandiyohi",857738,69402,17795,562335,0,16016,17795,69402,14236,108552,19575,19575,875534,10677,0,16016,121009,0,33811,12457,28473,3559,23134,16016,5339,80079,8898,1227883,140584,30252,3559,724273,3559,101434,589028,85418,5339,19575,24914,16016,5339,64063,177954,5339,67623,1416514,5339,85418,21354,3559,5339,28473
"minnesota,kittson",319433,18253,0,228167,27380,0,45633,127773,27380,146027,9127,0,711880,9127,18253,18253,164280,0,54760,9127,18253,0,82140,63887,0,118647,0,1843587,182533,63887,0,1222974,9127,63887,465460,36507,0,9127,0,0,18253,127773,200787,9127,100393,1405507,0,164280,36507,0,0,18253
"minnesota,koochiching",278041,49066,16355,850479,16355,16355,16355,147198,0,32711,0,16355,670570,0,32711,32711,147198,0,49066,0,0,0,16355,0,0,16355,16355,1373851,179909,0,0,915901,0,65421,376173,49066,0,0,16355,0,0,49066,147198,0,81777,899545,16355,16355,32711,32711,16355,0
"minnesota,lac qui parle",472590,0,0,254471,0,0,0,72706,0,127236,18177,0,254471,18177,0,18177,36353,0,0,0,0,0,54530,0,0,90883,0,508943,36353,18177,0,181765,0,127236,199942,18177,0,0,0,0,0,0,54530,0,54530,436237,0,54530,18177,0,0,18177
"minnesota,lake",594987,76772,19193,556601,0,0,19193,95966,0,38386,0,38386,806111,19193,19193,19193,76772,0,0,0,0,0,38386,38386,19193,19193,0,1631415,153545,0,0,1439484,57579,76772,422249,38386,0,19193,0,0,0,57579,115159,0,19193,1477870,0,134352,57579,19193,0,76772
"minnesota,lake of the woods",762492,135554,50833,593049,0,0,16944,237220,33889,16944,33889,0,694715,33889,0,50833,135554,16944,33889,0,0,16944,16944,67777,0,33889,16944,2524696,321941,118610,0,1304709,67777,33889,813325,50833,0,16944,0,0,0,135554,237220,67777,152498,1948591,33889,186387,50833,0,0,33889
"minnesota,le sueur",633706,74456,11582,488103,9928,9928,24819,67838,13237,91002,16546,16546,584069,33092,4964,9928,143949,1655,29783,11582,14891,3309,9928,16546,1655,99275,13237,1211157,132367,18200,4964,749527,8273,79420,350772,54601,23164,8273,28128,6618,0,71147,165459,8273,67838,1252521,14891,94311,52947,11582,8273,46328
"minnesota,lincoln",550073,50007,0,600080,16669,0,0,50007,16669,83344,0,16669,433391,0,0,50007,33338,0,66676,16669,16669,0,16669,0,0,200027,0,1350180,133351,33338,0,1000133,16669,50007,300040,66676,16669,0,16669,0,0,116682,133351,16669,33338,1283504,0,100013,50007,0,0,16669
"minnesota,lyon",689130,59688,12661,444950,3617,1809,19896,101289,3617,68732,23514,9044,625824,19896,9044,10852,157360,3617,34366,9044,21705,3617,18087,10852,0,106716,3617,1153976,151934,16279,3617,747010,10852,97672,374409,66923,3617,3617,7235,0,0,59688,106716,5426,108524,1217282,5426,99481,23514,3617,1809,25322
"minnesota,mcleod",402535,55862,6572,331065,2465,5751,10680,55041,9037,40254,7394,23002,453468,61613,2465,13966,116653,822,33682,3286,12323,822,9037,9037,3286,129797,822,1767869,65720,22181,1643,1841804,28753,53398,497829,27110,4108,4108,10680,17252,2465,41075,109260,4929,26288,1016196,2465,57505,41075,1643,4108,20538
"minnesota,mahnomen",1114422,68230,0,568582,0,0,0,45487,22743,68230,0,22743,477609,0,0,0,45487,0,0,0,22743,0,45487,0,22743,0,0,1250881,90973,22743,0,454866,0,45487,454866,68230,0,0,22743,22743,22743,45487,181946,0,68230,1410084,45487,90973,22743,0,0,0
"minnesota,marshall",623184,50257,30154,462363,0,0,50257,60308,10051,80411,20103,0,824212,60308,20103,10051,90462,0,10051,0,30154,10051,30154,20103,0,150770,0,1477550,130668,0,0,653339,10051,60308,532722,70360,20103,0,10051,0,0,140719,201027,10051,130668,1165958,0,130668,30154,0,10051,40205
"minnesota,martin",656444,58786,19595,475187,0,19595,24494,97977,19595,107774,0,9798,803410,19595,19595,19595,122471,0,83280,9798,58786,4899,24494,4899,0,93078,4899,1239406,166561,58786,0,680939,14697,146965,450693,44090,24494,9798,9798,0,0,68584,166561,14697,73483,1322687,19595,78381,58786,4899,0,34292
"minnesota,meeker",556093,56639,25745,422219,5149,10298,30894,36043,15447,92682,10298,15447,540646,25745,20596,0,144172,0,66937,5149,20596,0,10298,5149,5149,87533,5149,1415978,108129,25745,0,628180,0,97831,427368,61788,5149,5149,10298,0,0,30894,133874,0,72086,957716,0,113278,56639,5149,5149,30894
"minnesota,mille lacs",905807,126392,10533,613526,21065,7899,15799,113226,52663,84261,10533,71095,642491,42131,0,18432,402873,5266,76362,18432,31598,5266,63196,71095,5266,78995,5266,1574629,205386,31598,2633,1103294,21065,71095,510833,118492,71095,0,5266,0,39497,68462,205386,2633,181688,1624659,5266,202753,92161,18432,10533,65829
"minnesota,morrison",730358,79059,18824,677652,7529,3765,30118,154354,11294,48942,15059,11294,617416,3765,3765,18824,176943,0,52706,15059,18824,0,45177,18824,3765,56471,3765,1374128,192001,41412,0,1061655,3765,56471,530828,75295,3765,0,11294,3765,0,56471,192001,11294,79059,1645189,7529,75295,71530,3765,0,41412
"minnesota,mower",912273,62059,7757,729198,9309,15515,17066,133428,10860,107052,6206,23272,718337,23272,12412,29478,242032,1551,54302,18618,31030,1551,35684,17066,7757,100846,0,1697324,235826,31030,0,1090694,9309,66714,432864,55853,23272,7757,18618,4654,18618,108604,190833,1551,128773,1629059,0,127222,65162,3103,6206,40339
"minnesota,murray",418626,48303,32202,402525,0,0,16101,64404,16101,128808,32202,32202,483030,0,32202,0,64404,0,0,48303,16101,0,16101,0,0,48303,0,708443,144909,0,0,644039,16101,64404,338121,48303,0,0,0,0,0,32202,193212,0,48303,966059,0,48303,32202,0,0,80505
"minnesota,nicollet",479970,56724,8727,562874,4363,13090,34907,74177,0,69814,13090,21817,471243,17453,8727,26180,117811,0,113447,17453,30544,4363,17453,4363,0,109084,8727,1147565,157081,17453,0,942487,34907,87267,479970,21817,4363,4363,4363,0,0,52360,170171,4363,56724,1261012,0,74177,61087,4363,13090,21817
"minnesota,nobles",1042893,33642,0,1110177,13457,10093,10093,134567,23549,77376,6728,10093,1019344,13457,0,23549,191758,3364,40370,10093,47098,3364,53827,10093,10093,90833,3364,2105971,205214,23549,0,888141,10093,53827,477712,208579,6728,6728,3364,0,3364,74012,148024,13457,148024,2304458,10093,97561,47098,0,0,47098
"minnesota,norman",403315,120995,20166,524310,0,0,0,80663,40332,120995,20166,0,645304,40332,0,20166,80663,0,0,20166,0,0,20166,0,0,221823,0,806631,221823,0,0,504144,0,161326,463813,60497,0,0,0,0,20166,120995,60497,20166,80663,947791,0,80663,40332,0,20166,100829
"minnesota,olmsted",966390,69598,14452,687997,7226,9508,20157,120941,16734,85572,12931,33468,716901,19016,12170,19016,170763,1141,32327,4944,25862,3423,30045,21298,2662,82909,4564,1551320,198526,19016,3043,885002,16734,56668,496316,110292,6085,8367,15213,6465,5705,56287,147564,5705,77585,1634230,7606,91657,39933,7987,3423,39173
"minnesota,otter tail",661424,56291,9743,591059,4330,6495,22733,100675,21651,87685,19485,27063,656011,22733,4330,16238,137481,2165,33558,11908,12990,3248,17320,20568,2165,59539,3248,1201604,186195,21651,1083,742613,12990,95262,493632,119078,10825,4330,9743,12990,5413,57374,176452,4330,95262,1445173,3248,94180,44384,5413,7578,28146
"minnesota,pennington",996574,59703,4593,1065462,0,27555,22963,183700,13778,59703,9185,32148,812874,13778,13778,32148,87258,18370,13778,0,82665,22963,13778,13778,4593,73480,4593,2374326,385771,41333,4593,1983963,27555,78073,583248,114813,0,0,13778,22963,4593,87258,220440,4593,110220,2218181,4593,137775,59703,0,0,50518
"minnesota,pine",933116,101038,11887,579483,17830,11887,20802,106981,115897,92123,11887,41604,632973,29717,0,11887,145614,2972,80236,14859,26745,5943,8915,20802,2972,62406,0,1866232,184246,44576,0,1200569,29717,104010,433869,41604,0,2972,8915,11887,11887,77264,145614,8915,279340,1283777,5943,106981,41604,2972,8915,41604
"minnesota,pipestone",570530,78903,6069,364168,0,42486,18208,78903,6069,151737,12139,24278,661572,18208,6069,24278,78903,0,145667,18208,36417,0,36417,18208,0,133528,0,886143,78903,24278,0,619086,6069,218501,540183,72834,6069,0,6069,0,0,97112,254918,6069,48556,1268519,6069,97112,30347,6069,0,42486
